member_path,file_size,compress_size,crc32_hex,sha256,extension,classification,interesting,notes,extracted_relative_path
kotlin/reflect/reflect.kotlin_builtins,2395,1265,13816860,f0021ca61426250d6b17e76dd5f732c5908cf67dcaf33b0429a3ead7b1894386,.kotlin_builtins,generic_apk_member,False,[],
okhttp3/internal/publicsuffix/publicsuffixes.gz,34000,34000,5fccc77e,be8da686d208b34e4b3f0bf90aa2e0b7638295641132c3f0caa81b03499032ff,.gz,generic_apk_member,False,[],
play-services-ads-api.properties,80,51,6dce9f58,15d7b35da95b7652cf59824bac5d4336989005c6492686dadc06115371b0a354,.properties,generic_apk_member,False,[],
play-services-ads-identifier.properties,94,59,5a33a9d1,f3c4b9cce6375d8b1b275d4b6066777db4bad465962a7eca86fc1d695cbcb2f7,.properties,generic_apk_member,False,[],
play-services-ads.properties,72,49,f424da78,2d8600300eff24da485563101cd25d6d08f5bc02a20a161d0c6c5b59d855fb86,.properties,generic_apk_member,False,[],
play-services-appset.properties,78,52,823a046a,195c8fe12d8026f36f2baecebd8fe1722b0a85fdedd5bb59c9352f2ee18eaa8d,.properties,generic_apk_member,False,[],
play-services-auth-api-phone.properties,94,60,9db14c79,45679326fd37bb011f63d3be3c0f5b96fd50c5d29bf35508cd85d9990c6fbc3b,.properties,generic_apk_member,False,[],
play-services-auth-base.properties,84,55,74b37756,7ca37c278a9f009777f427d41bd417cf5df2dfc7ca940365b1d46cd94a687361,.properties,generic_apk_member,False,[],
play-services-auth.properties,74,50,58799379,b2b6c9e57f5049342f21c475c314a399c56e43a3d97ea10328e20be8f4c29bfc,.properties,generic_apk_member,False,[],
play-services-base.properties,74,50,b7109ceb,8d3f6754abfac37a2cd34b08b4c528baa8754ec9ff59878ef3d4ac6b01f4d58f,.properties,generic_apk_member,False,[],
play-services-basement.properties,82,53,a3b859e8,9e759f8839f3f9c2b1218079733893928673853188ba4be901d2cf92ca486c18,.properties,generic_apk_member,False,[],
play-services-cloud-messaging.properties,96,61,ef78724e,e56cc14b420d5f3078e1fbe9c5e47d1d73272eda8b68ca97dd2e17491f00b517,.properties,generic_apk_member,False,[],
play-services-cronet.properties,78,52,f5b951ab,b9a56ed44fbcff953fbe59e6cf18acd1a17f4b7dcfc5556e91d2c31d5b400d7a,.properties,generic_apk_member,False,[],
play-services-drive.properties,76,51,0a6b9fbb,ddd035f6afd4e58ef0f51e9f85bc136bd9f70934a49e9b9ba2895c6518286593,.properties,generic_apk_member,False,[],
play-services-fido.properties,74,50,f39d2eca,7958e7c6ac99edbe94fe0e482596d481b3b5bdf60d23344f487c25dc4ce6ea2f,.properties,generic_apk_member,False,[],
play-services-games.properties,76,51,bf6f21b0,3de8b8ce296a390eecc62ced705b86c83f0b55402229f58b4e72f27d07b2d649,.properties,generic_apk_member,False,[],
